,Abiemnhom,Abyei Region,Akobo,Aweil Centre,Aweil East,Aweil North,Aweil South,Aweil West,Awerial,Ayod,Baliet,Bor South,Budi,Canal-Pigi,Cueibet,Duk,Ezo,Fangak,Fashoda,Gogrial East,Gogrial West,Guit,Ibba,Ikotos,Juba,Jur River,Kajo-keji,Kapoeta East,Kapoeta North,Kapoeta South,Koch,Lafon,Lainya,Leer,Longochuk,Maban,Magwi,Maiwut,Malakal,Maridi,Mayendit,Mayom,Melut,Morobo,Mundri East,Mundri West,Mvolo,Nagero,Nyirol,Nzara,Panyijiar,Panyikang,Pariang,Pibor,Pochalla,Raja,Renk,Rubkona,Rumbek Centre,Rumbek East,Rumbek North,Tambura,Terekeka,Tonj East,Tonj North,Tonj South,Torit,Twic,Twic East,Uror,Wau,Wulu,Yambio,Yei,Yirol East,Yirol West
2011-08-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,640.0,0.0,0,0.0,0.0,0,0
2011-09-30,0,0,0.0,0,0,0.0,0,0,0,2.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,4.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2011-10-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,4.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,9.185185185185185,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,90.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2011-11-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,27.75,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,8.88888888888889,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,6.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2011-12-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,22.0,0,17.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,6.222222222222221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,0.0,0,0.0,272.8571428571429,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,18,0.0,0.0,0,0.0,0.0,0,0
2012-01-31,0,0,53.0,0,0,0.0,0,0,0,0.0,0.0,1.0,0,0.0,0.0,85.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,52.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,76.0,0.0,0.0,0,0.0,0,77.0,3.0,0,0.0,0.0,0,0
2012-02-29,0,0,4.0,0,0,0.0,0,0,0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22.0,0.0,0,0.0,0.0,0,0
2012-03-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,28.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,129.0,0.0,0.0,0,0,0,0,18,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,11.0,0,11.379310344827585,0.0,0,0.0,0.0,0,0
2012-04-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,10.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,27.428571428571427,0,0.0,0.0,0,0.0,0.0,0,0
2012-05-31,0,0,0.0,0,1,0.0,0,20,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,30.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,1.0,0.0,0,0.0,0.0,0,0
2012-06-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-07-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-08-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,3.5999999999999996,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-09-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-10-31,0,0,0.0,0,0,0.0,0,5,0,0.0,0.0,2.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-11-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,3.0,0,0.0,0.0,0.0,13,0.0,0,0.0,0.0,0.0,31.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2012-12-31,0,0,0.0,0,0,0.0,0,8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,39.2,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,66.66666666666667,0,0.0,0,0.0,52.33333333333333,0,0.0,0.0,0,0
2013-01-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,5.0,0,0.0,0.0,0.0,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-02-28,0,0,99.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-03-31,0,0,8.516483516483516,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-04-30,0,0,8.241758241758243,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,14.034482758620689,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-05-31,0,0,8.516483516483516,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,23.066666666666666,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,30.0,0.0,0,0.0,0.0,0,0
2013-06-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-07-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,21.11111111111111,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-08-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-09-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-10-31,0,0,3.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,40,0.0,0.0,0,0.0,0.0,0,0
2013-11-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2013-12-31,0,0,22.0,0,0,0.0,0,0,0,0.0,0.0,123.27753357753357,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1046.8825757575758,0,0.0,0.0,0.0,0,22.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,0,445.33333333333337,45.714285714285715,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,163.9047619047619,0,0.0,0,0.0,14.625,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-01-31,0,0,0.0,0,0,0.0,0,0,0,0.0,28.5,165.94117647058823,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,1.0,0,0.0,0.0,0.0,0,2.6907327586206895,0,0.0,0.46875,0.0,0.0,0.0,0.0,20.5,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,77.58333333333334,0,0.0,0,0.0,30.5,0.0,0.0,0.0,0,0.0,0,4.0,0.0,0,0.0,0.0,4,0
2014-02-28,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,2.3947956577266925,0,0.0,19.140873015873016,0.0,0.0,0.0,0.0,153.75,0,0.0,0.0,9.0,0.0,0,0,0,0,0,0,60.0,0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,10,0.0,0.0,0,0.0,0.0,0,0
2014-03-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,1.0,0,0.0,15.0,75.19999999999999,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,6.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-04-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,48.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,43,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1475.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-05-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,6.076923076923077,0,0,0.0,0,0.0,0.0,0.0,0,1.9275862068965517,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.2413793103448276,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,96.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-06-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,23.741379310344826,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8620689655172413,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-07-31,0,0,0.0,1,0,81.33333333333333,0,35,0,69.33333333333333,0.0,0.0,0,17.0,0.0,0.0,0,0,0.0,8.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,96.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-08-31,0,0,0.0,0,0,0.0,0,0,0,126.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,3.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-09-30,0,0,0.0,0,0,0.0,0,0,0,0.0,103.83333333333334,0.0,0,0.0,5.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,33.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,183.5,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-10-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,2,0.0,0.0,0,0.0,0.0,16.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-11-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,29.0,1.1666666666666665,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2014-12-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2015-01-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,11.0,0,0.0,0.0,0.0,0,4.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.5,0.0,0,0,0,0,0,0,0.40924092409240925,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2015-02-28,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,25.53191489361702,0.0,0,0,7.259259259259259,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.36963696369636967,0,0.0,0.0,0,0.0,25.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2015-03-31,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,65.95744680851064,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0.40924092409240925,0,0.0,0.0,0,0.0,288.0,45.0,52,52.0,52,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
2015-04-30,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,10.638297872340425,0.0,0,0,0.0,0.0,0,2.183582204631319,0,0,0.0,0,0.0,0.0,0.0,0,14.39911938799778,0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0,0.2857142857142857,0.0,0.0,0.0,0,0,0,0,0,0,0.39603960396039606,0,0.0,0.28125,0,0.0,0.0,4.720531603976059,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0
